,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
224,-0.2732,Tue Mar 27 01:20:05 +0000 2018,0.884,0.116,0.0,25,@CNN
225,-0.6597,Tue Mar 27 01:15:07 +0000 2018,0.5,0.372,0.128,26,@CNN
226,0.0,Tue Mar 27 01:10:02 +0000 2018,1.0,0.0,0.0,27,@CNN
227,0.4215,Tue Mar 27 01:00:25 +0000 2018,0.833,0.0,0.167,28,@CNN
228,-0.0258,Tue Mar 27 00:55:04 +0000 2018,0.939,0.061,0.0,29,@CNN
229,0.0,Tue Mar 27 00:51:19 +0000 2018,1.0,0.0,0.0,30,@CNN
230,0.3182,Tue Mar 27 00:50:03 +0000 2018,0.897,0.0,0.103,31,@CNN
231,0.4019,Tue Mar 27 00:45:05 +0000 2018,0.803,0.0,0.197,32,@CNN
232,-0.4019,Tue Mar 27 00:40:07 +0000 2018,0.766,0.153,0.081,33,@CNN
233,0.4767,Tue Mar 27 00:35:04 +0000 2018,0.838,0.0,0.162,34,@CNN
234,-0.6808,Tue Mar 27 00:30:16 +0000 2018,0.728,0.272,0.0,35,@CNN
235,-0.6486,Tue Mar 27 00:25:04 +0000 2018,0.694,0.306,0.0,36,@CNN
236,-0.3818,Tue Mar 27 00:22:00 +0000 2018,0.86,0.14,0.0,37,@CNN
237,0.0,Tue Mar 27 00:15:06 +0000 2018,1.0,0.0,0.0,38,@CNN
238,-0.2584,Tue Mar 27 00:12:51 +0000 2018,0.915,0.085,0.0,39,@CNN
239,-0.7845,Tue Mar 27 00:10:06 +0000 2018,0.669,0.331,0.0,40,@CNN
240,0.0,Tue Mar 27 00:05:30 +0000 2018,1.0,0.0,0.0,41,@CNN
241,0.25,Tue Mar 27 00:05:09 +0000 2018,0.707,0.121,0.172,42,@CNN
242,0.0772,Tue Mar 27 00:00:19 +0000 2018,0.544,0.218,0.238,43,@CNN
243,0.765,Mon Mar 26 23:55:17 +0000 2018,0.742,0.0,0.258,44,@CNN
244,-0.3818,Mon Mar 26 23:48:48 +0000 2018,0.809,0.191,0.0,45,@CNN
245,-0.8658,Mon Mar 26 23:45:04 +0000 2018,0.553,0.447,0.0,46,@CNN
246,-0.5859,Mon Mar 26 23:38:28 +0000 2018,0.798,0.202,0.0,47,@CNN
247,0.0,Mon Mar 26 23:30:14 +0000 2018,1.0,0.0,0.0,48,@CNN
248,0.0,Mon Mar 26 23:15:03 +0000 2018,1.0,0.0,0.0,49,@CNN
249,0.0,Mon Mar 26 23:10:09 +0000 2018,1.0,0.0,0.0,50,@CNN
250,0.2263,Mon Mar 26 23:05:01 +0000 2018,0.888,0.0,0.112,51,@CNN
251,-0.9062,Mon Mar 26 23:00:28 +0000 2018,0.383,0.617,0.0,52,@CNN
